"","worker_id","condition","trial_index","time_elapsed","start_time","experiment_order","rt","experiment","phase","stimulus","answer","correct","operation","symbol_cue","trial_no","color_cue","talk_out_loud","strategy_free_ans","VerbalScored","VisualScored","high_low_verbal","correct_if_add","correct_if_subtract","trial_no_ptcpt","list_completion","operation_used","correct_operation","correct_arithmetic","switching_is_correct"
"1","77543","uncued",234,672130,2022-10-01 21:53:37,"task_switching-rhyme-phon_sim-same_different",3465.39999997616,"task_switching","experiment",77,80,1,"add",NA,0,NA,"No","remember both the other numbers",4.58333333333333,3.8,"high_verbal",80,74,121,92.3538999999762,"add",1,1,1
"2","77543","uncued",235,674467,2022-10-01 21:53:37,"task_switching-rhyme-phon_sim-same_different",2331.60000002384,"task_switching","experiment",88,85,1,"subtract",NA,1,NA,"No","remember both the other numbers",4.58333333333333,3.8,"high_verbal",91,85,122,92.3538999999762,"subtract",1,1,1
"3","77543","uncued",236,677014,2022-10-01 21:53:37,"task_switching-rhyme-phon_sim-same_different",2542.70000004768,"task_switching","experiment",60,63,1,"add",NA,2,NA,"No","remember both the other numbers",4.58333333333333,3.8,"high_verbal",63,57,123,92.3538999999762,"add",1,1,1
"4","77543","uncued",237,678594,2022-10-01 21:53:37,"task_switching-rhyme-phon_sim-same_different",1573.60000002384,"task_switching","experiment",45,52,0,"subtract",NA,3,NA,"No","remember both the other numbers",4.58333333333333,3.8,"high_verbal",48,42,124,92.3538999999762,"add",0,0,0
"5","77543","uncued",238,679925,2022-10-01 21:53:37,"task_switching-rhyme-phon_sim-same_different",1326.89999997616,"task_switching","experiment",54,57,1,"add",NA,4,NA,"No","remember both the other numbers",4.58333333333333,3.8,"high_verbal",57,51,125,92.3538999999762,"add",1,1,0
"6","77543","uncued",239,681748,2022-10-01 21:53:37,"task_switching-rhyme-phon_sim-same_different",1817.89999997616,"task_switching","experiment",26,23,1,"subtract",NA,5,NA,"No","remember both the other numbers",4.58333333333333,3.8,"high_verbal",29,23,126,92.3538999999762,"subtract",1,1,1
"7","77543","uncued",240,683429,2022-10-01 21:53:37,"task_switching-rhyme-phon_sim-same_different",1675.29999995232,"task_switching","experiment",79,82,1,"add",NA,6,NA,"No","remember both the other numbers",4.58333333333333,3.8,"high_verbal",82,76,127,92.3538999999762,"add",1,1,1
"8","77543","uncued",241,689810,2022-10-01 21:53:37,"task_switching-rhyme-phon_sim-same_different",6376.79999995232,"task_switching","experiment",91,88,1,"subtract",NA,7,NA,"No","remember both the other numbers",4.58333333333333,3.8,"high_verbal",94,88,128,92.3538999999762,"subtract",1,1,1
"9","77543","uncued",242,691737,2022-10-01 21:53:37,"task_switching-rhyme-phon_sim-same_different",1920.89999997616,"task_switching","experiment",19,22,1,"add",NA,8,NA,"No","remember both the other numbers",4.58333333333333,3.8,"high_verbal",22,16,129,92.3538999999762,"add",1,1,1
"10","77543","uncued",243,695164,2022-10-01 21:53:37,"task_switching-rhyme-phon_sim-same_different",3422.89999997616,"task_switching","experiment",63,60,1,"subtract",NA,9,NA,"No","remember both the other numbers",4.58333333333333,3.8,"high_verbal",66,60,130,92.3538999999762,"subtract",1,1,1
"11","77543","uncued",244,696960,2022-10-01 21:53:37,"task_switching-rhyme-phon_sim-same_different",1790.39999997616,"task_switching","experiment",47,50,1,"add",NA,10,NA,"No","remember both the other numbers",4.58333333333333,3.8,"high_verbal",50,44,131,92.3538999999762,"add",1,1,1
"12","77543","uncued",245,702353,2022-10-01 21:53:37,"task_switching-rhyme-phon_sim-same_different",5389.20000004768,"task_switching","experiment",39,36,1,"subtract",NA,11,NA,"No","remember both the other numbers",4.58333333333333,3.8,"high_verbal",42,36,132,92.3538999999762,"subtract",1,1,1
"13","77543","uncued",246,709714,2022-10-01 21:53:37,"task_switching-rhyme-phon_sim-same_different",7357.29999995232,"task_switching","experiment",83,80,0,"add",NA,12,NA,"No","remember both the other numbers",4.58333333333333,3.8,"high_verbal",86,80,133,92.3538999999762,"subtract",0,1,0
"14","77543","uncued",247,714222,2022-10-01 21:53:37,"task_switching-rhyme-phon_sim-same_different",4502.89999997616,"task_switching","experiment",94,97,0,"subtract",NA,13,NA,"No","remember both the other numbers",4.58333333333333,3.8,"high_verbal",97,91,134,92.3538999999762,"add",0,1,1
"15","77543","uncued",248,718100,2022-10-01 21:53:37,"task_switching-rhyme-phon_sim-same_different",3872.70000004768,"task_switching","experiment",69,66,0,"add",NA,14,NA,"No","remember both the other numbers",4.58333333333333,3.8,"high_verbal",72,66,135,92.3538999999762,"subtract",0,1,1
"16","77543","uncued",249,719846,2022-10-01 21:53:37,"task_switching-rhyme-phon_sim-same_different",1741.39999997616,"task_switching","experiment",32,35,0,"subtract",NA,15,NA,"No","remember both the other numbers",4.58333333333333,3.8,"high_verbal",35,29,136,92.3538999999762,"add",0,1,1
"17","77543","uncued",250,724868,2022-10-01 21:53:37,"task_switching-rhyme-phon_sim-same_different",5017.39999997616,"task_switching","experiment",42,39,0,"add",NA,16,NA,"No","remember both the other numbers",4.58333333333333,3.8,"high_verbal",45,39,137,92.3538999999762,"subtract",0,1,1
"18","77543","uncued",251,727136,2022-10-01 21:53:37,"task_switching-rhyme-phon_sim-same_different",2263.20000004768,"task_switching","experiment",81,84,0,"subtract",NA,17,NA,"No","remember both the other numbers",4.58333333333333,3.8,"high_verbal",84,78,138,92.3538999999762,"add",0,1,1
"19","77543","uncued",252,728923,2022-10-01 21:53:37,"task_switching-rhyme-phon_sim-same_different",1782.10000002384,"task_switching","experiment",35,32,0,"add",NA,18,NA,"No","remember both the other numbers",4.58333333333333,3.8,"high_verbal",38,32,139,92.3538999999762,"subtract",0,1,1
"20","77543","uncued",253,732072,2022-10-01 21:53:37,"task_switching-rhyme-phon_sim-same_different",3144.20000004768,"task_switching","experiment",90,93,0,"subtract",NA,19,NA,"No","remember both the other numbers",4.58333333333333,3.8,"high_verbal",93,87,140,92.3538999999762,"add",0,1,1
