"","worker_id","condition","trial_index","time_elapsed","start_time","experiment_order","rt","experiment","stimulus","answer","correct","operation","symbol_cue","color_cue","talk_out_loud","strategy_free_ans","VerbalScored","VisualScored","high_low_verbal","correct_if_add","correct_if_subtract","list_completion","operation_used","correct_operation","correct_arithmetic","switching_is_correct"
"1","A10JXOU89D5RXR","uncued",234,600633,2022-05-18 15:11:54,"task_switching-rhyme-same_different-phon_sim",2310.09999999404,"task_switching",73,76,1,"add",NA,NA,"Yes","no",3.25,4.4,"low_verbal",76,70,78.6108000001609,"add",1,1,1
"2","A10JXOU89D5RXR","uncued",235,602744,2022-05-18 15:11:54,"task_switching-rhyme-same_different-phon_sim",2107.09999999404,"task_switching",33,30,1,"subtract",NA,NA,"Yes","no",3.25,4.4,"low_verbal",36,30,78.6108000001609,"subtract",1,1,1
"3","A10JXOU89D5RXR","uncued",236,604384,2022-05-18 15:11:54,"task_switching-rhyme-same_different-phon_sim",1636.20000001788,"task_switching",27,30,1,"add",NA,NA,"Yes","no",3.25,4.4,"low_verbal",30,24,78.6108000001609,"add",1,1,1
"4","A10JXOU89D5RXR","uncued",237,607840,2022-05-18 15:11:54,"task_switching-rhyme-same_different-phon_sim",3452.59999999404,"task_switching",89,86,1,"subtract",NA,NA,"Yes","no",3.25,4.4,"low_verbal",92,86,78.6108000001609,"subtract",1,1,1
"5","A10JXOU89D5RXR","uncued",238,609568,2022-05-18 15:11:54,"task_switching-rhyme-same_different-phon_sim",1723,"task_switching",15,18,1,"add",NA,NA,"Yes","no",3.25,4.4,"low_verbal",18,12,78.6108000001609,"add",1,1,1
"6","A10JXOU89D5RXR","uncued",239,612002,2022-05-18 15:11:54,"task_switching-rhyme-same_different-phon_sim",2426.30000001192,"task_switching",78,75,1,"subtract",NA,NA,"Yes","no",3.25,4.4,"low_verbal",81,75,78.6108000001609,"subtract",1,1,1
"7","A10JXOU89D5RXR","uncued",240,613681,2022-05-18 15:11:54,"task_switching-rhyme-same_different-phon_sim",1674.40000000596,"task_switching",87,90,1,"add",NA,NA,"Yes","no",3.25,4.4,"low_verbal",90,84,78.6108000001609,"add",1,1,1
"8","A10JXOU89D5RXR","uncued",241,615521,2022-05-18 15:11:54,"task_switching-rhyme-same_different-phon_sim",1833.59999999404,"task_switching",83,80,1,"subtract",NA,NA,"Yes","no",3.25,4.4,"low_verbal",86,80,78.6108000001609,"subtract",1,1,1
"9","A10JXOU89D5RXR","uncued",242,617841,2022-05-18 15:11:54,"task_switching-rhyme-same_different-phon_sim",2316.30000001192,"task_switching",34,37,1,"add",NA,NA,"Yes","no",3.25,4.4,"low_verbal",37,31,78.6108000001609,"add",1,1,1
"10","A10JXOU89D5RXR","uncued",243,623032,2022-05-18 15:11:54,"task_switching-rhyme-same_different-phon_sim",5188.40000000596,"task_switching",49,46,1,"subtract",NA,NA,"Yes","no",3.25,4.4,"low_verbal",52,46,78.6108000001609,"subtract",1,1,1
