"","worker_id","question_str","response_str","question_label","question_name","VerbalScored","VisualScored","high_low_verbal"
"1","A10JXOU89D5RXR","sing_along","Yes - definitely","Can you ""sing along"" to music without singing out loud?","sing_along",3.25,4.4,"low_verbal"
"2","A10JXOU89D5RXR","convo_memory_self","I remember the topic, but can't remember any of the specifics.","If you had to recall a short conversation about a specific topic that you had yesterday with a friend, how easily can you recall the exact words you said? - Selected Choice","convo_memory_self",3.25,4.4,"low_verbal"
"3","A10JXOU89D5RXR","Q47",NA,"Other than your native language, have you learnt any other languages? (Including any you have minimal experience).","Q47",3.25,4.4,"low_verbal"
"4","A10JXOU89D5RXR","thinking_in_ideas","More like a conversation","Many people feel that a lot of their thinking, planning, and decision-making takes place in the form of a conversation with themselves. They describe that when they think, they hear words in their mind. Other people don’t have this experience and instead say that they ""think in ideas"". Is your experience more like the first or the second? - Selected Choice","thinking_in_ideas",3.25,4.4,"low_verbal"
"5","A10JXOU89D5RXR","InnerSpeechQuestions_DO_express_inner_states","17","Inner Speech Questions - Display Order - express_inner_states","InnerSpeechQuestions_DO_express_inner_states",3.25,4.4,"low_verbal"
"6","A10JXOU89D5RXR","convo_memory_friend_1_TEXT","-999","If you had to recall a short conversation about a specific topic that you had yesterday with a friend, how easily can you recall the exact words your friend said? - Other - Text","convo_memory_friend_1_TEXT",3.25,4.4,"low_verbal"
"7","A10JXOU89D5RXR","InnerSpeechQuestions_DO_hearing_conversation","6","Inner Speech Questions - Display Order - hearing_conversation","InnerSpeechQuestions_DO_hearing_conversation",3.25,4.4,"low_verbal"
"8","A10JXOU89D5RXR","conversation_focus","Sometimes","How often do you experience trouble focusing on a face-to-face conversation you are having because of a conflicting conversation happening in your mind at the same time?","conversation_focus",3.25,4.4,"low_verbal"
"9","A10JXOU89D5RXR","InnerSpeechQuestions_DO_catch1","16","Inner Speech Questions - Display Order - catch1","InnerSpeechQuestions_DO_catch1",3.25,4.4,"low_verbal"
"10","A10JXOU89D5RXR","sing_along_thinking","Mostly similar to regular thinking","If you can ""sing along"" to music without singing out loud, to what extent does this feel like regular thinking?","sing_along_thinking",3.25,4.4,"low_verbal"
"11","A10JXOU89D5RXR","convo_memory_self_1_TEXT","-999","If you had to recall a short conversation about a specific topic that you had yesterday with a friend, how easily can you recall the exact words you said? - Other - Text","convo_memory_self_1_TEXT",3.25,4.4,"low_verbal"
